Campaign,Ad group,Ad type,Final URL,Path 1,Path 2,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Description 1,Description 2,Description 3,Description 4,Status
US_Search_Repair_Winners_2026-03,2008 Honda Civic Battery Replacement,Responsive search ad,https://spotonauto.com/repair/2008/honda/civic/battery-replacement,battery,civic,2008 Honda Civic Battery Replacement,Exact Battery Steps for Civic,Parts Tools and Safety Notes,See Battery Fitment First,Vehicle-Specific DIY Guide,Check Cable and Hold-Down Layout,Open the Full Repair Guide,Start With the Right Answer,Get step-by-step 2008 Honda Civic battery replacement help with fitment and prep notes.,Use a vehicle-specific repair path before buying a battery or starting teardown.,See tools parts order of operations and linked support resources in one place.,Built for a real repair job instead of a generic battery article.,Enabled
US_Search_Repair_Winners_2026-03,2015 Jeep Cherokee Headlight Bulb,Responsive search ad,https://spotonauto.com/repair/2015/jeep/cherokee/headlight-bulb-replacement,headlight,cherokee,2015 Jeep Cherokee Headlight Bulb,Exact Bulb Replacement Steps,See Access Notes Before Teardown,Vehicle-Specific Lighting Help,Check Bulb Fitment First,Low Beam and Access Guidance,Open the Full Repair Guide,Start With the Right Answer,Find the exact 2015 Jeep Cherokee headlight bulb replacement path before you start.,See fitment notes access tips and linked support pages for the job.,Use a page built around the actual vehicle and repair task not generic lighting advice.,Helpful for replacement planning bulb fitment and next-step repair context.,Enabled
US_Search_Repair_Winners_2026-03,2014 Nissan Altima Brake Pad Replacement,Responsive search ad,https://spotonauto.com/repair/2014/nissan/altima/brake-pad-replacement,brakes,altima,2014 Nissan Altima Brake Pads,Exact Brake Pad Steps,See Parts Tools and Notes,Vehicle-Specific Brake Help,Check the Repair Path First,Open the Altima Brake Guide,Start With the Right Answer,Brake Help by Year Make Model,Use the exact 2014 Nissan Altima brake pad guide with practical steps and prep notes.,See the repair path parts list and related support links before buying pads.,Built for the actual brake job instead of a generic brake article.,Helpful for planning the work and understanding the next step after inspection.,Enabled
US_Search_Repair_Winners_2026-03,2015 Nissan Altima Cabin Air Filter,Responsive search ad,https://spotonauto.com/repair/2015/nissan/altima/cabin-air-filter-replacement,cabin-filter,altima,2015 Altima Cabin Air Filter,Exact Filter Change Steps,See Access Notes First,Vehicle-Specific Filter Guide,Check the Filter Path First,Open the Full Repair Guide,DIY Help by Year Make Model,Start With the Right Answer,Get the 2015 Nissan Altima cabin air filter replacement path in one focused guide.,See access notes parts guidance and support links before opening the dash area.,Built for a real vehicle-specific filter change instead of generic maintenance copy.,Useful if you want a fast answer and a cleaner route into the repair.,Enabled
US_Search_Tools_Specs_2026-03,Chrysler 300 Battery Location,Responsive search ad,https://spotonauto.com/tools/chrysler-300-battery-location,battery,chrysler-300,Chrysler 300 Battery Location,Find Battery Size and Jump Points,See Exact Battery Placement,Battery Specs by Model Year,Fast Chrysler 300 Battery Lookup,Where Is the Chrysler 300 Battery,Verify Fitment Before You Buy,Use the Right Battery First,Find the Chrysler 300 battery location jump points and size details in one page.,Get a fast vehicle-specific answer before replacing or jump-starting the battery.,See year breakdowns fitment notes and related repair links without forum digging.,Built for quick lookup and better battery-buying decisions.,Enabled
US_Search_Tools_Specs_2026-03,BMW X3 Battery Location,Responsive search ad,https://spotonauto.com/tools/bmw-x3-battery-location,battery,bmw-x3,BMW X3 Battery Location,Find Battery Size and Jump Points,See Exact Battery Placement,BMW X3 Battery Specs Fast,Where Is the BMW X3 Battery,Verify Fitment Before You Buy,Use the Right Battery First,Quick BMW X3 Battery Lookup,Find the BMW X3 battery location size details and jump-start context in one place.,Use a fast vehicle-specific lookup before replacing or troubleshooting the battery.,See fitment notes and related repair links without relying on scattered forum posts.,Built to answer the exact battery question quickly and clearly.,Enabled
US_Search_Tools_Specs_2026-03,BMW X3 Oil Type,Responsive search ad,https://spotonauto.com/tools/bmw-x3-oil-type,oil,bmw-x3,BMW X3 Oil Type and Capacity,Find Exact Oil Weight Fast,See BMW X3 Filter and Capacity,Use the Right Oil First,Vehicle-Specific Oil Specs,Avoid Guessing on Oil Weight,BMW X3 Oil Change Specs,Quick Lookup for BMW X3 Oil,Find BMW X3 oil type capacity and related filter details in one vehicle-specific page.,Use the right oil before buying parts or starting an oil change.,See quick specs year breakdowns and linked support paths without generic fluff.,Built for fast answers on oil weight capacity and service planning.,Enabled
US_Search_Tools_Specs_2026-03,BMW X3 Headlight Bulb,Responsive search ad,https://spotonauto.com/tools/bmw-x3-headlight-bulb,bulb,bmw-x3,BMW X3 Headlight Bulb Size,Find Low Beam and High Beam,See Exact Bulb Fitment,Vehicle-Specific Bulb Lookup,Use the Right Bulb First,BMW X3 Lighting Specs Fast,Avoid Guessing on Bulb Size,Quick BMW X3 Bulb Answer,Find the BMW X3 headlight bulb size and related fitment details in one place.,Use the exact bulb lookup before buying parts or opening the housing.,See quick answers year breakdowns and support links without generic forums.,Built for fast fitment answers and cleaner lighting repair prep.,Enabled
US_Search_Wiring_Intent_2026-03,2006 BMW X3 Alternator Wiring,Responsive search ad,https://spotonauto.com/wiring/2006/bmw/x3/alternator,wiring,bmw-x3,2006 BMW X3 Alternator Wiring,Factory-Style Charging Diagram,Find Battery Feed and Control Paths,Use the Right Electrical Diagram,BMW X3 Charging System Wiring,Check the Alternator Circuit Fast,Open the Correct X3 Diagram,Vehicle-Specific Wiring Help,Find the 2006 BMW X3 alternator wiring path with charging-system context and diagram access.,Use a vehicle-specific wiring page before chasing connectors or voltage problems.,See the right system path and related repair links in one place.,Built for real electrical troubleshooting where the exact diagram matters.,Enabled
US_Search_Wiring_Intent_2026-03,2008 Honda Civic Headlight Wiring,Responsive search ad,https://spotonauto.com/wiring/2008/honda/civic/headlight,wiring,civic,2008 Honda Civic Headlight Wiring,Factory-Style Headlight Diagram,Find Relay and Ground Paths,Use the Right Electrical Diagram,Honda Civic Lighting Wiring,Check the Headlight Circuit Fast,Open the Correct Civic Diagram,Vehicle-Specific Wiring Help,Find the 2008 Honda Civic headlight wiring path with lighting circuit context and diagram access.,Use a vehicle-specific wiring page before tracing relays grounds or connectors.,See the right system path and related repair links in one place.,Built for real lighting diagnosis where the exact circuit matters.,Enabled
US_Search_Wiring_Intent_2026-03,2006 Ford Fusion Alternator Wiring,Responsive search ad,https://spotonauto.com/wiring/2006/ford/fusion/alternator,wiring,fusion,2006 Ford Fusion Alternator Wiring,Factory-Style Charging Diagram,Find Battery Feed and Control Paths,Use the Right Electrical Diagram,Ford Fusion Charging System,Check the Alternator Circuit Fast,Open the Correct Fusion Diagram,Vehicle-Specific Wiring Help,Find the 2006 Ford Fusion alternator wiring path with charging-system context and diagram access.,Use a vehicle-specific wiring page before tracing feeds controls or grounds.,See the right system path and related repair links in one place.,Built for real electrical troubleshooting where the exact circuit matters.,Enabled
